datetime,symb,company,finviz_date,sector,industry,market_cap,income,insider_own,shs_outstanding,shs_float,short_float,short_ratio,last,volume,change_pct
2020-01-08,CTIB,Cti Industries Cor ,2020-02-27,Consumer Goods,Rubber & Plastics,5.44M,-8.00M,,3.91M,1.88M,2.59%,0.10,2.13,84460,18.08
2020-01-16,ADAP,Adaptimmune Therap ,2020-01-18,Healthcare,Biotechnology,489.74M,-144.00M,0.24%,108.35M,11.26M,25.95%,1.67,3.6,171910,10.89
2020-01-16,INPX,Inpixon ,2020-01-11,Technology,Application Software,550.07M,-34.30M,1.47%,135.82M,-,-,4.52,4.95,51710,12.39
2020-01-16,ADAP,Adaptimmune Therap ,2020-01-18,Healthcare,Biotechnology,489.74M,-144.00M,0.24%,108.35M,11.26M,25.95%,1.67,3.6,171910,10.89
2020-01-09,ITCI,Intra-cellular The ,2020-01-11,Healthcare,Biotechnology,1.52B,-147.90M,0.80%,58.72M,51.36M,25.03%,4.81,27.67,1060000,10.74
2020-01-07,CALM,Cal-maine Foods In ,2020-01-03,Consumer Goods,Food - Major Diversified,2.06B,-3.90M,,48.59M,30.25M,15.51%,15.42,38.1,68750,10.25
2020-01-07,CALM,Cal-maine Foods In ,2020-01-03,Consumer Goods,Food - Major Diversified,2.06B,-3.90M,,48.59M,30.25M,15.51%,15.42,38.1,68750,10.25
2020-01-08,INPX,Inpixon ,2020-01-11,Technology,Application Software,550.07M,-34.30M,1.47%,135.82M,-,-,4.52,7.06,269730,23.06
2020-01-09,APOP,Cellect Biotechnol ,2020-02-27,Healthcare,Biotechnology,6.98M,-,,3.24M,1.47M,0.31%,0.01,3.56,185630,12.96
2020-01-09,LTHM,Livent Corporation ,2020-02-27,Basic Materials,Specialty Chemicals,1.67B,76.60M,0.10%,172.10M,145.21M,16.04%,8.15,7.54,220950,13.03
2020-01-09,GENE,Genetic Technologi ,2020-02-27,Healthcare,Medical Laboratories & Research,23.08M,-4.30M,,7.16M,5.55M,10.99%,1.03,3.83,165610,15.08
2020-01-08,INPX,Inpixon ,2020-01-11,Technology,Application Software,550.07M,-34.30M,1.47%,135.82M,-,-,4.52,7.06,269730,23.06
2020-01-10,SLDB,Solid Biosciences ,2020-02-27,Healthcare,Drugs - Generic,136.77M,-107.30M,2.40%,46.84M,26.84M,12.87%,3.64,3.89,119760,12.19
2020-01-10,BBBY,Bed Bath & Beyond ,2020-02-27,Services,Home Furnishing Stores,1.37B,-802.20M,0.50%,129.20M,120.51M,42.68%,5.68,14.48,877140,13.03
2020-01-10,CANF,Can-fite Biopharma ,2020-02-27,Healthcare,Biotechnology,9.67M,-,2.47%,7.44M,2.71M,4.06%,0.16,2.93,73760,15.32
2020-01-10,TUFN,Tufin Software Tec ,2020-02-27,Technology,Security Software & Services,427.92M,-28.10M,,35.22M,23.39M,2.60%,1.33,12.85,76350,25.38
2020-01-13,SIX,Six Flags Entertai ,2020-01-11,Services,General Entertainment,3.03B,269.60M,4.70%,84.15M,79.38M,5.68%,3.27,36.98,906830,15.49
2020-01-13,APTX,Aptinyx Inc. ,2020-01-18,Healthcare,Biotechnology,173.42M,-57.70M,0.30%,37.70M,27.00M,2.12%,3.67,2.96,137980,17.67
2020-01-13,PTLA,Portola Pharmaceut ,2020-01-11,Healthcare,Biotechnology,1.13B,-282.50M,0.30%,76.58M,76.58M,18.18%,16.79,14.51,1260000,41.35
2020-01-13,SIX,Six Flags Entertai ,2020-01-11,Services,General Entertainment,3.03B,269.60M,4.70%,84.15M,79.38M,5.68%,3.27,36.98,906830,15.49
2020-01-13,APTX,Aptinyx Inc. ,2020-01-18,Healthcare,Biotechnology,173.42M,-57.70M,0.30%,37.70M,27.00M,2.12%,3.67,2.96,137980,17.67
2020-01-13,PTLA,Portola Pharmaceut ,2020-01-11,Healthcare,Biotechnology,1.13B,-282.50M,0.30%,76.58M,76.58M,18.18%,16.79,14.51,1260000,41.35
2020-01-13,SIX,Six Flags Entertai ,2020-01-11,Services,General Entertainment,3.03B,269.60M,4.70%,84.15M,79.38M,5.68%,3.27,36.98,906830,15.49
2020-01-13,APTX,Aptinyx Inc. ,2020-01-18,Healthcare,Biotechnology,173.42M,-57.70M,0.30%,37.70M,27.00M,2.12%,3.67,2.96,137980,17.67
2020-01-13,PTLA,Portola Pharmaceut ,2020-01-11,Healthcare,Biotechnology,1.13B,-282.50M,0.30%,76.58M,76.58M,18.18%,16.79,14.51,1260000,41.35
2020-01-13,SIX,Six Flags Entertai ,2020-01-11,Services,General Entertainment,3.03B,269.60M,4.70%,84.15M,79.38M,5.68%,3.27,36.98,906830,15.49
2020-01-13,APTX,Aptinyx Inc. ,2020-01-18,Healthcare,Biotechnology,173.42M,-57.70M,0.30%,37.70M,27.00M,2.12%,3.67,2.96,137980,17.67
2020-01-13,PTLA,Portola Pharmaceut ,2020-01-11,Healthcare,Biotechnology,1.13B,-282.50M,0.30%,76.58M,76.58M,18.18%,16.79,14.51,1260000,41.35
2020-01-14,AQST,Aquestive Therapeu ,2020-02-27,Healthcare,Biotechnology,137.31M,-67.60M,5.60%,34.50M,26.97M,4.18%,1.10,5.7,86830,13.77
2020-01-14,FIVE,Five Below Inc. ,2020-02-27,Services,"Specialty Retail, Other",6.01B,153.90M,1.30%,56.91M,54.01M,7.46%,2.74,96.83,629060,20.13
2020-01-13,SIX,Six Flags Entertai ,2020-01-11,Services,General Entertainment,3.03B,269.60M,4.70%,84.15M,79.38M,5.68%,3.27,36.98,906830,15.49
2020-01-13,APTX,Aptinyx Inc. ,2020-01-18,Healthcare,Biotechnology,173.42M,-57.70M,0.30%,37.70M,27.00M,2.12%,3.67,2.96,137980,17.67
2020-01-13,PTLA,Portola Pharmaceut ,2020-01-11,Healthcare,Biotechnology,1.13B,-282.50M,0.30%,76.58M,76.58M,18.18%,16.79,14.51,1260000,41.35
2020-01-14,AQST,Aquestive Therapeu ,2020-02-27,Healthcare,Biotechnology,137.31M,-67.60M,5.60%,34.50M,26.97M,4.18%,1.10,5.7,86830,13.77
2020-01-14,FIVE,Five Below Inc. ,2020-02-27,Services,"Specialty Retail, Other",6.01B,153.90M,1.30%,56.91M,54.01M,7.46%,2.74,96.83,629060,20.13
2020-01-14,SSI,Stage Stores Inc. ,2020-01-18,Services,Apparel Stores,113.95M,-95.10M,10.10%,32.10M,24.11M,10.27%,1.63,3.27,1160000,55.33
2020-01-14,SSI,Stage Stores Inc. ,2020-01-18,Services,Apparel Stores,113.95M,-95.10M,10.10%,32.10M,24.11M,10.27%,1.63,3.27,1160000,55.33
2020-01-14,STML,Stemline Therapeut ,2020-01-11,Healthcare,Biotechnology,491.97M,-85.80M,5.50%,50.15M,45.48M,10.24%,9.64,7.25,27170,23.12
2020-01-16,INPX,Inpixon ,2020-01-11,Technology,Application Software,550.07M,-34.30M,1.47%,135.82M,-,-,4.52,4.95,51710,12.39
2020-01-16,NKTR,Nektar Therapeutics ,2020-01-11,Healthcare,Biotechnology,4.84B,-425.40M,1.30%,179.61M,173.87M,17.77%,12.72,23.89,63250,14.56
2020-01-16,NKTR,Nektar Therapeutics ,2020-01-11,Healthcare,Biotechnology,4.84B,-425.40M,1.30%,179.61M,173.87M,17.77%,12.72,23.89,63250,14.56
2020-01-06,DWT,Velocityshares Vix ,2020-02-27,Financial,Exchange Traded Fund,-,-,-,-,-,-,-,3.15,2940000,10.51
2020-01-06,DWT,Velocityshares Vix ,2020-02-27,Financial,Exchange Traded Fund,-,-,-,-,-,-,-,3.15,2940000,10.51
2020-01-06,DWT,Velocityshares Vix ,2020-02-27,Financial,Exchange Traded Fund,-,-,-,-,-,-,-,3.15,2940000,10.51
2020-01-05,DWT,Velocityshares Vix ,2020-02-27,Financial,Exchange Traded Fund,-,-,-,-,-,-,-,3.15,2940000,10.51
2020-01-05,DWT,Velocityshares Vix ,2020-02-27,Financial,Exchange Traded Fund,-,-,-,-,-,-,-,3.15,2940000,10.51
2019-12-20,GDOT,Green Dot Corporat ,2020-02-27,Financial,Credit Services,1.80B,99.90M,2.60%,52.76M,46.83M,12.99%,5.10,22.9,109780,11.45
2019-12-18,PTI,Proteostasis Thera ,2020-02-27,Healthcare,Biotechnology,84.50M,-64.20M,17.50%,50.60M,41.74M,11.29%,0.84,2.48,7900000,42.99
2019-12-18,PTI,Proteostasis Thera ,2020-02-27,Healthcare,Biotechnology,84.50M,-64.20M,17.50%,50.60M,41.74M,11.29%,0.84,2.48,7900000,42.99
2020-01-05,INCY,Incyte Corporation ,2020-01-03,Healthcare,Biotechnology,16.97B,405.00M,0.50%,217.88M,214.05M,2.07%,3.76,76.12,56810,11.46
2019-12-23,NAKD,Naked Brand Group ,2020-01-11,Consumer Goods,Textile - Apparel Clothing,5.02M,-33.00M,11.27%,3.22M,2.86M,2.07%,0.13,2.02,98390,21.71
2019-12-23,ABEO,Abeona Therapeutic ,2019-12-20,Healthcare,Biotechnology,279.60M,-77.30M,,55.92M,36.53M,11.84%,5.93,3.0,1950000,40.0
2019-12-21,NAKD,Naked Brand Group ,2020-01-11,Consumer Goods,Textile - Apparel Clothing,5.02M,-33.00M,11.27%,3.22M,2.86M,2.07%,0.13,2.02,98390,21.71
2019-12-20,NAKD,Naked Brand Group ,2020-01-11,Consumer Goods,Textile - Apparel Clothing,5.02M,-33.00M,11.27%,3.22M,2.86M,2.07%,0.13,2.02,98390,21.71
2019-12-19,FIXX,Homology Medicines ,2020-01-03,Healthcare,Biotechnology,820.68M,-98.80M,1.10%,43.91M,41.17M,7.09%,8.79,19.0,35380,12.64
2019-12-19,FIXX,Homology Medicines ,2020-01-03,Healthcare,Biotechnology,820.68M,-98.80M,1.10%,43.91M,41.17M,7.09%,8.79,19.0,35380,12.64
2019-12-18,FIXX,Homology Medicines ,2020-01-03,Healthcare,Biotechnology,820.68M,-98.80M,1.10%,43.91M,41.17M,7.09%,8.79,19.0,35380,12.64
2019-12-20,APOG,Apogee Enterprises ,2020-02-27,Industrial Goods,General Building Materials,855.35M,37.90M,0.40%,26.27M,25.79M,2.69%,3.19,32.59,48100,18.93
2019-12-20,NERV,Minerva Neuroscien ,2020-02-27,Healthcare,Biotechnology,289.08M,-55.50M,0.80%,39.33M,37.51M,8.39%,7.97,5.46,106960,20.75
2019-12-20,ABEO,Abeona Therapeutic ,2019-12-20,Healthcare,Biotechnology,279.60M,-77.30M,,55.92M,36.53M,11.84%,5.93,3.0,1950000,40.0
2019-12-20,MITO,Stealth Biotherape ,2019-12-20,Healthcare,Biotechnology,498.68M,-102.00M,-,36.40M,5.41M,0.44%,0.43,5.22,63490,61.9
2019-12-21,ABEO,Abeona Therapeutic ,2019-12-20,Healthcare,Biotechnology,279.60M,-77.30M,,55.92M,36.53M,11.84%,5.93,3.0,1950000,40.0
2019-12-21,MITO,Stealth Biotherape ,2019-12-20,Healthcare,Biotechnology,498.68M,-102.00M,-,36.40M,5.41M,0.44%,0.43,5.22,63490,61.9
2019-12-23,MITO,Stealth Biotherape ,2019-12-20,Healthcare,Biotechnology,498.68M,-102.00M,-,36.40M,5.41M,0.44%,0.43,5.22,63490,61.9
2020-01-05,LNDC,Landec Corporation ,2020-01-03,Consumer Goods,Farm Products,297.69M,-2.90M,0.70%,29.68M,28.35M,4.53%,11.41,9.48,30270,15.13
2020-01-05,SES,Synthesis Energy S ,2020-01-03,Basic Materials,Specialty Chemicals,12.10M,-11.30M,16.29%,1.37M,1.15M,6.26%,0.04,9.65,154970,15.35
2020-01-05,INCY,Incyte Corporation ,2020-01-03,Healthcare,Biotechnology,16.97B,405.00M,0.50%,217.88M,214.05M,2.07%,3.76,76.12,56810,11.46
2020-01-05,LNDC,Landec Corporation ,2020-01-03,Consumer Goods,Farm Products,297.69M,-2.90M,0.70%,29.68M,28.35M,4.53%,11.41,9.48,30270,15.13
2020-01-05,SES,Synthesis Energy S ,2020-01-03,Basic Materials,Specialty Chemicals,12.10M,-11.30M,16.29%,1.37M,1.15M,6.26%,0.04,9.65,154970,15.35
2020-01-06,INCY,Incyte Corporation ,2020-01-03,Healthcare,Biotechnology,16.97B,405.00M,0.50%,217.88M,214.05M,2.07%,3.76,76.12,56810,11.46
2020-01-06,LNDC,Landec Corporation ,2020-01-03,Consumer Goods,Farm Products,297.69M,-2.90M,0.70%,29.68M,28.35M,4.53%,11.41,9.48,30270,15.13
2020-01-06,SES,Synthesis Energy S ,2020-01-03,Basic Materials,Specialty Chemicals,12.10M,-11.30M,16.29%,1.37M,1.15M,6.26%,0.04,9.65,154970,15.35
2020-01-06,INCY,Incyte Corporation ,2020-01-03,Healthcare,Biotechnology,16.97B,405.00M,0.50%,217.88M,214.05M,2.07%,3.76,76.12,56810,11.46
2020-01-06,LNDC,Landec Corporation ,2020-01-03,Consumer Goods,Farm Products,297.69M,-2.90M,0.70%,29.68M,28.35M,4.53%,11.41,9.48,30270,15.13
2020-01-06,SES,Synthesis Energy S ,2020-01-03,Basic Materials,Specialty Chemicals,12.10M,-11.30M,16.29%,1.37M,1.15M,6.26%,0.04,9.65,154970,15.35
2020-01-06,INCY,Incyte Corporation ,2020-01-03,Healthcare,Biotechnology,16.97B,405.00M,0.50%,217.88M,214.05M,2.07%,3.76,76.12,56810,11.46
2020-01-06,LNDC,Landec Corporation ,2020-01-03,Consumer Goods,Farm Products,297.69M,-2.90M,0.70%,29.68M,28.35M,4.53%,11.41,9.48,30270,15.13
2020-01-06,SES,Synthesis Energy S ,2020-01-03,Basic Materials,Specialty Chemicals,12.10M,-11.30M,16.29%,1.37M,1.15M,6.26%,0.04,9.65,154970,15.35
2019-12-13,AKTS,Akoustis Technolog ,2020-02-27,Technology,Communication Equipment,267.77M,-33.50M,14.60%,37.19M,30.89M,17.39%,14.71,6.74,150670,11.26
2019-12-12,AKTS,Akoustis Technolog ,2020-02-27,Technology,Communication Equipment,267.77M,-33.50M,14.60%,37.19M,30.89M,17.39%,14.71,6.74,150670,11.26
2019-12-12,UNFI,United Natural Foo ,2020-02-27,Services,Food Wholesale,345.35M,-738.30M,0.80%,53.21M,52.87M,14.74%,6.27,8.7,89370,11.85
2019-12-12,UNFI,United Natural Foo ,2020-02-27,Services,Food Wholesale,345.35M,-738.30M,0.80%,53.21M,52.87M,14.74%,6.27,8.7,89370,11.85
2019-12-17,PCG,Pacific Gas & Elec ,2019-10-25,Utilities,Electric Utilities,3.84B,-8742.00M,0.21%,533.99M,528.41M,8.34%,4.21,8.84,3930000,21.35
2019-12-17,PCG,Pacific Gas & Elec ,2019-10-25,Utilities,Electric Utilities,3.84B,-8742.00M,0.21%,533.99M,528.41M,8.34%,4.21,8.84,3930000,21.35
2019-12-17,WVE,Wave Life Sciences ,2019-11-15,Healthcare,Biotechnology,944.74M,-174.80M,0.20%,33.88M,27.82M,14.75%,20.68,17.95,200640,52.26
2019-12-17,PCG,Pacific Gas & Elec ,2019-10-25,Utilities,Electric Utilities,3.84B,-8742.00M,0.21%,533.99M,528.41M,8.34%,4.21,8.84,3930000,21.35
2019-12-10,FRAN,"Francesca""s Holdin ",2020-02-27,Services,Apparel Stores,21.08M,-34.80M,2.60%,3.10M,2.88M,30.18%,5.35,15.0,110640,24.36
2019-12-16,PCG,Pacific Gas & Elec ,2019-10-25,Utilities,Electric Utilities,3.84B,-8742.00M,0.21%,533.99M,528.41M,8.34%,4.21,8.84,3930000,21.35
2019-12-13,CSTM,Constellium SE ,2019-12-02,Basic Materials,Aluminum,1.94B,-23.10M,0.92%,140.67M,136.10M,1.21%,1.27,13.1,5540000,10.18
2019-12-13,CSTM,Constellium SE ,2019-12-02,Basic Materials,Aluminum,1.94B,-23.10M,0.92%,140.67M,136.10M,1.21%,1.27,13.1,5540000,10.18
2019-12-13,CSTM,Constellium SE ,2019-12-02,Basic Materials,Aluminum,1.94B,-23.10M,0.92%,140.67M,136.10M,1.21%,1.27,13.1,5540000,10.18
2019-12-12,CSTM,Constellium SE ,2019-12-02,Basic Materials,Aluminum,1.94B,-23.10M,0.92%,140.67M,136.10M,1.21%,1.27,13.1,5540000,10.18
2019-12-10,FRAN,"Francesca""s Holdin ",2020-02-27,Services,Apparel Stores,21.08M,-34.80M,2.60%,3.10M,2.88M,30.18%,5.35,15.0,110640,24.36
2019-12-12,PLCE,"Children""s Place I ",2020-02-27,Services,Apparel Stores,950.01M,60.90M,3.60%,15.62M,14.36M,45.24%,6.97,59.31,1160000,16.06
2019-12-10,CONN,"Conn""s Inc. ",2019-12-27,Services,Electronics Stores,352.07M,84.10M,2.70%,28.60M,9.30M,57.10%,6.55,14.96,371810,27.02
2019-12-10,CONN,"Conn""s Inc. ",2019-12-27,Services,Electronics Stores,352.07M,84.10M,2.70%,28.60M,9.30M,57.10%,6.55,14.96,371810,27.02
2019-12-12,PLCE,"Children""s Place I ",2020-02-27,Services,Apparel Stores,950.01M,60.90M,3.60%,15.62M,14.36M,45.24%,6.97,59.31,1160000,16.06
2019-12-12,TCCO,Technical Communic ,2019-12-20,Technology,Communication Equipment,10.41M,-0.70M,21.08%,2.05M,1.47M,0.09%,0.00,6.55,85280,18.13
2019-12-12,MDGL,Madrigal Pharmaceu ,2019-12-20,Healthcare,Biotechnology,1.43B,-67.70M,11.33%,15.98M,13.76M,17.98%,13.94,104.09,58620,12.16
2019-12-12,GME,Gamestop Corporati ,2019-11-13,Services,Electronics Stores,546.89M,-1204.20M,2.90%,92.38M,86.09M,75.31%,9.15,5.25,856510,19.35
2019-12-12,ITRM,Iterum Therapeutic ,2019-12-27,Healthcare,Biotechnology,76.86M,-103.70M,9.42%,16.18M,13.47M,0.88%,1.28,2.85,27440,41.24
2019-12-12,MDGL,Madrigal Pharmaceu ,2019-12-20,Healthcare,Biotechnology,1.43B,-67.70M,11.33%,15.98M,13.76M,17.98%,13.94,104.09,58620,12.16
2019-12-12,VERU,Veru Inc. ,2020-02-27,Healthcare,Drug Manufacturers - Other,279.52M,-13.20M,12.80%,65.77M,47.40M,0.45%,0.51,2.15,181930,12.24
2019-12-12,TCCO,Technical Communic ,2019-12-20,Technology,Communication Equipment,10.41M,-0.70M,21.08%,2.05M,1.47M,0.09%,0.00,6.55,85280,18.13
2019-12-12,GME,Gamestop Corporati ,2019-11-13,Services,Electronics Stores,546.89M,-1204.20M,2.90%,92.38M,86.09M,75.31%,9.15,5.25,856510,19.35
2019-12-12,ITRM,Iterum Therapeutic ,2019-12-27,Healthcare,Biotechnology,76.86M,-103.70M,9.42%,16.18M,13.47M,0.88%,1.28,2.85,27440,41.24
2019-12-13,AKTS,Akoustis Technolog ,2020-02-27,Technology,Communication Equipment,267.77M,-33.50M,14.60%,37.19M,30.89M,17.39%,14.71,6.74,150670,11.26
2019-12-13,VERU,Veru Inc. ,2020-02-27,Healthcare,Drug Manufacturers - Other,279.52M,-13.20M,12.80%,65.77M,47.40M,0.45%,0.51,2.15,181930,12.24
2019-12-13,AKTS,Akoustis Technolog ,2020-02-27,Technology,Communication Equipment,267.77M,-33.50M,14.60%,37.19M,30.89M,17.39%,14.71,6.74,150670,11.26
2019-12-13,VERU,Veru Inc. ,2020-02-27,Healthcare,Drug Manufacturers - Other,279.52M,-13.20M,12.80%,65.77M,47.40M,0.45%,0.51,2.15,181930,12.24
2019-12-13,VERU,Veru Inc. ,2020-02-27,Healthcare,Drug Manufacturers - Other,279.52M,-13.20M,12.80%,65.77M,47.40M,0.45%,0.51,2.15,181930,12.24
2019-12-16,WVE,Wave Life Sciences ,2019-11-15,Healthcare,Biotechnology,944.74M,-174.80M,0.20%,33.88M,27.82M,14.75%,20.68,17.95,200640,52.26
2019-12-17,WVE,Wave Life Sciences ,2019-11-15,Healthcare,Biotechnology,944.74M,-174.80M,0.20%,33.88M,27.82M,14.75%,20.68,17.95,200640,52.26
2019-12-17,WVE,Wave Life Sciences ,2019-11-15,Healthcare,Biotechnology,944.74M,-174.80M,0.20%,33.88M,27.82M,14.75%,20.68,17.95,200640,52.26
2019-12-07,PD,Pagerduty Inc. ,2020-02-27,Technology,Application Software,1.52B,-46.10M,5.10%,78.18M,59.90M,5.75%,3.52,20.65,177030,17.37
2019-12-07,PD,Pagerduty Inc. ,2020-02-27,Technology,Application Software,1.52B,-46.10M,5.10%,78.18M,59.90M,5.75%,3.52,20.65,177030,17.37
2019-12-06,OMER,Omeros Corporation ,2020-02-27,Healthcare,Biotechnology,663.74M,-78.80M,0.50%,52.14M,50.98M,21.44%,23.44,13.53,180290,11.22
2019-12-04,PLUG,Plug Power Inc. ,2020-02-27,Industrial Goods,Industrial Electrical Equipment,1.41B,-90.60M,1.00%,295.91M,295.43M,19.07%,3.64,3.38,652610,11.05
2019-12-04,PLUG,Plug Power Inc. ,2020-02-27,Industrial Goods,Industrial Electrical Equipment,1.41B,-90.60M,1.00%,295.91M,295.43M,19.07%,3.64,3.38,652610,11.05
2019-12-03,LXRX,Lexicon Pharmaceut ,2020-02-27,Healthcare,Biotechnology,321.47M,165.00M,0.70%,112.60M,105.23M,14.85%,12.42,2.64,134040,25.21
2019-12-10,KALV,Kalvista Pharmaceu ,2019-10-13,Healthcare,Biotechnology,192.06M,-23.10M,2.60%,17.46M,16.09M,5.39%,6.56,11.75,58570,18.0
2019-12-09,KALV,Kalvista Pharmaceu ,2019-10-13,Healthcare,Biotechnology,192.06M,-23.10M,2.60%,17.46M,16.09M,5.39%,6.56,11.75,58570,18.0
2019-12-10,KALV,Kalvista Pharmaceu ,2019-10-13,Healthcare,Biotechnology,192.06M,-23.10M,2.60%,17.46M,16.09M,5.39%,6.56,11.75,58570,18.0
2019-12-03,LXRX,Lexicon Pharmaceut ,2020-02-27,Healthcare,Biotechnology,321.47M,165.00M,0.70%,112.60M,105.23M,14.85%,12.42,2.64,134040,25.21
2019-12-06,KOD,Kodiak Sciences Inc ,2019-12-02,Healthcare,Biotechnology,1.01B,-46.40M,20.07%,34.14M,28.01M,9.75%,7.82,65.8,42040,10.37
2019-12-06,MIK,The Michaels Compa ,2019-12-27,Services,"Specialty Retail, Other",1.28B,271.90M,0.20%,159.40M,93.35M,32.07%,10.23,6.2,282490,14.07
2019-12-05,ARWR,Arrowhead Pharmace ,2019-11-25,Healthcare,Biotechnology,4.62B,45.50M,2.80%,93.92M,93.30M,15.89%,9.82,61.7,908900,10.14
2019-12-04,ARWR,Arrowhead Pharmace ,2019-11-25,Healthcare,Biotechnology,4.62B,45.50M,2.80%,93.92M,93.30M,15.89%,9.82,61.7,908900,10.14
2019-12-04,CLVS,Clovis Oncology In ,2019-11-08,Healthcare,Biotechnology,229.08M,-396.00M,2.50%,53.03M,52.93M,40.63%,4.92,14.6,533220,11.14
2019-12-04,CARA,Cara Therapeutics ,2020-02-27,Healthcare,Biotechnology,739.08M,-98.40M,2.20%,46.60M,42.45M,10.74%,6.21,20.71,277730,19.98
2019-12-04,ALDX,Aldeyra Therapeuti ,2020-02-27,Healthcare,Biotechnology,115.64M,-58.30M,3.00%,28.00M,24.33M,2.14%,1.91,5.51,400510,26.44
2019-12-04,CLVS,Clovis Oncology In ,2019-11-08,Healthcare,Biotechnology,229.08M,-396.00M,2.50%,53.03M,52.93M,40.63%,4.92,14.6,533220,11.14
2019-12-04,CLF,Cleveland-cliffs I ,2019-10-25,Basic Materials,Industrial Metals & Minerals,1.96B,963.20M,1.60%,273.55M,266.15M,36.01%,7.35,7.35,4790000,12.6
2019-12-04,ASLN,Aslan Pharmaceutic ,2019-12-02,Healthcare,Biotechnology,122.43M,-,-,32.05M,26.47M,0.05%,0.02,2.67,2810000,48.65
2019-12-04,CARA,Cara Therapeutics ,2020-02-27,Healthcare,Biotechnology,739.08M,-98.40M,2.20%,46.60M,42.45M,10.74%,6.21,20.71,277730,19.98
2019-12-04,ALDX,Aldeyra Therapeuti ,2020-02-27,Healthcare,Biotechnology,115.64M,-58.30M,3.00%,28.00M,24.33M,2.14%,1.91,5.51,400510,26.44
2019-12-04,RVNC,Revance Therapeuti ,2020-02-27,Healthcare,Biotechnology,1.28B,-154.70M,1.20%,51.16M,48.30M,11.21%,5.77,17.0,500110,15.63
2019-12-04,CLF,Cleveland-cliffs I ,2019-10-25,Basic Materials,Industrial Metals & Minerals,1.96B,963.20M,1.60%,273.55M,266.15M,36.01%,7.35,7.35,4790000,12.6
2019-12-04,ASLN,Aslan Pharmaceutic ,2019-12-02,Healthcare,Biotechnology,122.43M,-,-,32.05M,26.47M,0.05%,0.02,2.67,2810000,48.65
2019-12-04,RVNC,Revance Therapeuti ,2020-02-27,Healthcare,Biotechnology,1.28B,-154.70M,1.20%,51.16M,48.30M,11.21%,5.77,17.0,500110,15.63
2019-12-04,ARWR,Arrowhead Pharmace ,2019-11-25,Healthcare,Biotechnology,4.62B,45.50M,2.80%,93.92M,93.30M,15.89%,9.82,61.7,908900,10.14
